Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,POS,Store,Cashier name,Status
10/05/2025 19:53,1-1026,Sale,171.43,2.28,169.15,0.0,169.15,0.0,169.15,Card,2 x Product 2,POS 1,Quenkos,C3,Closed
10/05/2025 14:46,1-1027,Sale,307.97,10.58,297.39,0.0,297.39,0.0,297.39,Cash,"2 x Product 7, 1 x Product 6, 2 x Product 4, 1 x Product 6",POS 1,Quenkos,C4,Closed
10/05/2025 14:27,1-1028,Sale,230.47,6.39,224.08,0.0,224.08,0.0,224.08,Card,"2 x Product 7, 2 x Product 7, 2 x Product 2",POS 1,Quenkos,C1,Closed
10/05/2025 19:47,1-1029,Sale,286.0,3.06,282.94,0.0,282.94,0.0,282.94,Cash,"1 x Product 5, 2 x Product 9, 2 x Product 4",POS 1,Quenkos,Owner,Closed
10/05/2025 19:05,1-1030,Sale,158.94,63.07,95.87,0.0,95.87,0.0,95.87,Cash,"2 x Product 1, 1 x Product 10, 1 x Product 3",POS 1,Quenkos,C2,Closed
10/05/2025 16:26,1-1031,Sale,159.03,7.1,151.93,0.0,151.93,0.0,151.93,Cash,"2 x Product 8, 1 x Product 4",POS 1,Quenkos,C4,Closed
10/05/2025 15:14,1-1032,Sale,432.23,19.39,412.84,0.0,412.84,0.0,412.84,Card,"2 x Product 1, 2 x Product 3, 2 x Product 9, 2 x Product 5",POS 1,Quenkos,C1,Closed
10/05/2025 16:16,1-1033,Sale,385.42,6.47,378.95,0.0,378.95,0.0,378.95,Cash,"2 x Product 8, 2 x Product 6, 1 x Product 7",POS 1,Quenkos,C4,Closed
10/05/2025 11:09,1-1034,Sale,317.04,3.28,313.76,0.0,313.76,0.0,313.76,Cash,"2 x Product 8, 2 x Product 1",POS 1,Quenkos,C1,Closed
11/05/2025 18:24,1-1035,Sale,187.77,0.27,187.5,0.0,187.5,0.0,187.5,Card,"2 x Product 3, 1 x Product 4, 2 x Product 9",POS 1,Quenkos,C2,Closed
11/05/2025 11:53,1-1036,Sale,133.58,5.79,127.79,0.0,127.79,0.0,127.79,Card,"2 x Product 10, 1 x Product 6",POS 1,Quenkos,C2,Closed
11/05/2025 15:20,1-1037,Sale,288.12,0.75,287.37,0.0,287.37,0.0,287.37,Cash,"2 x Product 4, 2 x Product 9, 1 x Product 3",POS 1,Quenkos,C1,Closed
11/05/2025 19:04,1-1038,Sale,179.74,41.43,138.31,0.0,138.31,0.0,138.31,Cash,1 x Product 8,POS 1,Quenkos,C4,Closed
11/05/2025 18:13,1-1039,Sale,143.24,37.58,105.66,0.0,105.66,0.0,105.66,Card,"1 x Product 8, 1 x Product 2, 2 x Product 7",POS 1,Quenkos,C2,Closed
11/05/2025 15:45,1-1040,Sale,238.88,4.43,234.45,0.0,234.45,0.0,234.45,Card,"1 x Product 2, 1 x Product 8",POS 1,Quenkos,C1,Closed
11/05/2025 09:54,1-1041,Sale,346.36,13.42,332.94,0.0,332.94,0.0,332.94,Card,"1 x Product 2, 2 x Product 10, 1 x Product 7, 2 x Product 9",POS 1,Quenkos,C2,Closed
11/05/2025 14:54,1-1042,Sale,197.55,6.03,191.52,0.0,191.52,0.0,191.52,Cash,2 x Product 3,POS 1,Quenkos,C1,Closed
11/05/2025 16:54,1-1043,Sale,196.54,5.46,191.08,0.0,191.08,0.0,191.08,Card,"2 x Product 3, 1 x Product 8, 1 x Product 4, 1 x Product 9",POS 1,Quenkos,C2,Closed
11/05/2025 19:45,1-1044,Sale,261.76,8.69,253.07,0.0,253.07,0.0,253.07,Card,1 x Product 1,POS 1,Quenkos,C2,Closed
11/05/2025 15:47,1-1045,Sale,147.82,5.63,142.19,0.0,142.19,0.0,142.19,Cash,"1 x Product 8, 1 x Product 3, 2 x Product 3",POS 1,Quenkos,C3,Closed
11/05/2025 16:17,1-1046,Sale,105.66,1.45,104.21,0.0,104.21,0.0,104.21,Card,"2 x Product 10, 1 x Product 9, 2 x Product 3",POS 1,Quenkos,C4,Closed
11/05/2025 11:40,1-1047,Sale,476.43,19.58,456.85,0.0,456.85,0.0,456.85,Cash,"2 x Product 2, 1 x Product 1, 1 x Product 3, 2 x Product 5",POS 1,Quenkos,C4,Closed
11/05/2025 18:40,1-1048,Sale,497.57,19.02,478.55,0.0,478.55,0.0,478.55,Cash,"2 x Product 2, 1 x Product 6",POS 1,Quenkos,C3,Closed
11/05/2025 17:24,1-1049,Sale,205.86,51.05,154.81,0.0,154.81,0.0,154.81,Cash,"1 x Product 3, 1 x Product 6, 1 x Product 5, 1 x Product 6",POS 1,Quenkos,C2,Closed
11/05/2025 09:26,1-1050,Sale,415.13,13.72,401.41,0.0,401.41,0.0,401.41,Card,"2 x Product 3, 1 x Product 3, 1 x Product 8, 2 x Product 8",POS 1,Quenkos,C2,Closed
11/05/2025 10:34,1-1051,Sale,166.37,6.23,160.14,0.0,160.14,0.0,160.14,Card,"1 x Product 10, 1 x Product 9",POS 1,Quenkos,C1,Closed
11/05/2025 16:07,1-1052,Sale,339.21,12.46,326.75,0.0,326.75,0.0,326.75,Cash,"2 x Product 7, 2 x Product 10, 1 x Product 6",POS 1,Quenkos,C2,Closed
11/05/2025 10:14,1-1053,Sale,330.5,2.9,327.6,0.0,327.6,0.0,327.6,Card,2 x Product 10,POS 1,Quenkos,Owner,Closed
11/05/2025 13:11,1-1054,Sale,231.92,3.34,228.58,0.0,228.58,0.0,228.58,Cash,"2 x Product 7, 2 x Product 5, 1 x Product 1, 1 x Product 4",POS 1,Quenkos,Owner,Closed
11/05/2025 16:05,1-1055,Sale,121.68,3.79,117.89,0.0,117.89,0.0,117.89,Card,"1 x Product 2, 2 x Product 8, 2 x Product 9",POS 1,Quenkos,C2,Closed
11/05/2025 09:13,1-1056,Sale,111.55,4.46,107.09,0.0,107.09,0.0,107.09,Card,"2 x Product 10, 1 x Product 5",POS 1,Quenkos,C2,Closed
11/05/2025 17:00,1-1057,Sale,284.58,11.84,272.74,0.0,272.74,0.0,272.74,Card,1 x Product 3,POS 1,Quenkos,C3,Closed
11/05/2025 17:45,1-1058,Sale,235.95,3.15,232.8,0.0,232.8,0.0,232.8,Card,"1 x Product 10, 1 x Product 3, 2 x Product 6, 2 x Product 4",POS 1,Quenkos,C2,Closed
11/05/2025 18:37,1-1059,Sale,492.31,9.43,482.88,0.0,482.88,0.0,482.88,Card,"2 x Product 9, 2 x Product 5, 2 x Product 5, 1 x Product 4",POS 1,Quenkos,Owner,Closed
11/05/2025 09:20,1-1060,Sale,447.88,9.86,438.02,0.0,438.02,0.0,438.02,Card,"2 x Product 4, 1 x Product 7, 1 x Product 9, 2 x Product 10",POS 1,Quenkos,C4,Closed
11/05/2025 09:46,1-1061,Sale,349.3,1.4,347.9,0.0,347.9,0.0,347.9,Card,"2 x Product 1, 2 x Product 8",POS 1,Quenkos,C1,Closed
11/05/2025 14:40,1-1062,Sale,491.34,17.29,474.05,0.0,474.05,0.0,474.05,Cash,"2 x Product 9, 1 x Product 1, 1 x Product 1, 2 x Product 7",POS 1,Quenkos,C4,Closed
11/05/2025 13:57,1-1063,Sale,326.37,2.77,323.6,0.0,323.6,0.0,323.6,Card,"1 x Product 8, 1 x Product 3, 2 x Product 4",POS 1,Quenkos,C1,Closed
11/05/2025 18:43,1-1064,Sale,366.74,8.53,358.21,0.0,358.21,0.0,358.21,Cash,"2 x Product 3, 2 x Product 7",POS 1,Quenkos,C1,Closed
11/05/2025 10:28,1-1065,Sale,441.33,8.42,432.91,0.0,432.91,0.0,432.91,Card,"2 x Product 7, 1 x Product 5, 2 x Product 3",POS 1,Quenkos,Owner,Closed
11/05/2025 13:01,1-1066,Sale,342.83,10.91,331.92,0.0,331.92,0.0,331.92,Cash,"1 x Product 3, 2 x Product 6, 2 x Product 7, 1 x Product 8",POS 1,Quenkos,Owner,Closed
11/05/2025 19:06,1-1067,Sale,113.35,0.74,112.61,0.0,112.61,0.0,112.61,Card,2 x Product 4,POS 1,Quenkos,Owner,Closed
11/05/2025 15:11,1-1068,Sale,398.62,2.3,396.32,0.0,396.32,0.0,396.32,Cash,"2 x Product 6, 2 x Product 10, 2 x Product 9",POS 1,Quenkos,C1,Closed
11/05/2025 12:55,1-1069,Sale,247.43,3.24,244.19,0.0,244.19,0.0,244.19,Card,"1 x Product 10, 2 x Product 9, 1 x Product 4, 2 x Product 8",POS 1,Quenkos,C3,Closed
12/05/2025 10:43,1-1070,Sale,466.1,1.47,464.63,0.0,464.63,0.0,464.63,Card,2 x Product 7,POS 1,Quenkos,C1,Closed
12/05/2025 19:26,1-1071,Sale,498.37,5.85,492.52,0.0,492.52,0.0,492.52,Card,2 x Product 10,POS 1,Quenkos,C1,Closed
12/05/2025 16:23,1-1072,Sale,376.11,8.36,367.75,0.0,367.75,0.0,367.75,Card,"2 x Product 6, 2 x Product 8, 2 x Product 9, 1 x Product 7",POS 1,Quenkos,C3,Closed
12/05/2025 10:43,1-1073,Sale,356.68,0.38,356.3,0.0,356.3,0.0,356.3,Cash,"2 x Product 1, 1 x Product 3, 1 x Product 10",POS 1,Quenkos,C2,Closed
12/05/2025 11:50,1-1074,Sale,334.55,3.9,330.65,0.0,330.65,0.0,330.65,Cash,1 x Product 9,POS 1,Quenkos,C3,Closed
12/05/2025 13:54,1-1075,Sale,152.72,6.02,146.7,0.0,146.7,0.0,146.7,Cash,"1 x Product 6, 1 x Product 8",POS 1,Quenkos,Owner,Closed
12/05/2025 11:16,1-1076,Sale,390.9,12.88,378.02,0.0,378.02,0.0,378.02,Cash,"1 x Product 6, 2 x Product 8, 1 x Product 5, 1 x Product 8",POS 1,Quenkos,C1,Closed
12/05/2025 09:30,1-1077,Sale,150.48,4.4,146.08,0.0,146.08,0.0,146.08,Card,"1 x Product 7, 2 x Product 5, 1 x Product 10, 1 x Product 1",POS 1,Quenkos,C4,Closed
12/05/2025 18:33,1-1078,Sale,265.53,5.29,260.24,0.0,260.24,0.0,260.24,Card,"1 x Product 1, 2 x Product 8, 2 x Product 9, 1 x Product 7",POS 1,Quenkos,C2,Closed
12/05/2025 15:20,1-1079,Sale,272.75,5.08,267.67,0.0,267.67,0.0,267.67,Cash,"1 x Product 10, 1 x Product 7, 1 x Product 5",POS 1,Quenkos,C3,Closed
12/05/2025 18:35,1-1080,Sale,447.24,21.66,425.58,0.0,425.58,0.0,425.58,Card,2 x Product 5,POS 1,Quenkos,C3,Closed
12/05/2025 10:36,1-1081,Sale,438.15,16.71,421.44,0.0,421.44,0.0,421.44,Card,"1 x Product 7, 2 x Product 3",POS 1,Quenkos,C3,Closed
12/05/2025 17:49,1-1082,Sale,111.58,4.25,107.33,0.0,107.33,0.0,107.33,Card,2 x Product 7,POS 1,Quenkos,C4,Closed
12/05/2025 09:11,1-1083,Sale,236.36,8.53,227.83,0.0,227.83,0.0,227.83,Cash,"1 x Product 1, 2 x Product 8, 2 x Product 10, 2 x Product 1",POS 1,Quenkos,C4,Closed
12/05/2025 09:09,1-1084,Sale,277.25,8.42,268.83,0.0,268.83,0.0,268.83,Cash,2 x Product 7,POS 1,Quenkos,C1,Closed
12/05/2025 17:07,1-1085,Sale,310.77,3.43,307.34,0.0,307.34,0.0,307.34,Cash,2 x Product 3,POS 1,Quenkos,C2,Closed
12/05/2025 09:13,1-1086,Sale,147.99,3.19,144.8,0.0,144.8,0.0,144.8,Cash,"2 x Product 8, 2 x Product 8",POS 1,Quenkos,C2,Closed
12/05/2025 17:35,1-1087,Sale,444.84,12.75,432.09,0.0,432.09,0.0,432.09,Card,"1 x Product 1, 2 x Product 9, 1 x Product 1",POS 1,Quenkos,C4,Closed
12/05/2025 13:07,1-1088,Sale,437.79,12.89,424.9,0.0,424.9,0.0,424.9,Card,"2 x Product 2, 1 x Product 10, 2 x Product 5",POS 1,Quenkos,C2,Closed
12/05/2025 13:47,1-1089,Sale,390.95,15.93,375.02,0.0,375.02,0.0,375.02,Cash,"1 x Product 8, 2 x Product 1, 2 x Product 7",POS 1,Quenkos,C2,Closed
12/05/2025 13:12,1-1090,Sale,285.58,8.27,277.31,0.0,277.31,0.0,277.31,Card,"1 x Product 8, 2 x Product 7",POS 1,Quenkos,C1,Closed
12/05/2025 19:20,1-1091,Sale,418.53,7.36,411.17,0.0,411.17,0.0,411.17,Card,2 x Product 5,POS 1,Quenkos,C1,Closed
12/05/2025 16:02,1-1092,Sale,279.89,9.12,270.77,0.0,270.77,0.0,270.77,Card,"2 x Product 1, 2 x Product 9, 1 x Product 9",POS 1,Quenkos,C1,Closed
12/05/2025 17:09,1-1093,Sale,496.39,15.14,481.25,0.0,481.25,0.0,481.25,Card,"1 x Product 2, 1 x Product 9, 1 x Product 4, 2 x Product 8",POS 1,Quenkos,Owner,Closed
12/05/2025 15:26,1-1094,Sale,126.36,42.42,83.94,0.0,83.94,0.0,83.94,Cash,2 x Product 8,POS 1,Quenkos,C4,Closed
12/05/2025 14:05,1-1095,Sale,338.02,5.23,332.79,0.0,332.79,0.0,332.79,Card,"2 x Product 10, 1 x Product 4",POS 1,Quenkos,C3,Closed
12/05/2025 11:42,1-1096,Sale,303.4,79.42,223.98,0.0,223.98,0.0,223.98,Card,2 x Product 7,POS 1,Quenkos,C4,Closed
12/05/2025 16:12,1-1097,Sale,364.77,11.27,353.5,0.0,353.5,0.0,353.5,Cash,"1 x Product 2, 1 x Product 3",POS 1,Quenkos,C1,Closed
12/05/2025 11:11,1-1098,Sale,487.84,18.35,469.49,0.0,469.49,0.0,469.49,Cash,"2 x Product 8, 1 x Product 1",POS 1,Quenkos,C4,Closed
12/05/2025 17:15,1-1099,Sale,301.16,2.44,298.72,0.0,298.72,0.0,298.72,Cash,"2 x Product 10, 2 x Product 2, 2 x Product 7, 2 x Product 6",POS 1,Quenkos,C2,Closed
12/05/2025 13:03,1-1100,Sale,405.25,18.34,386.91,0.0,386.91,0.0,386.91,Card,"1 x Product 6, 2 x Product 2, 1 x Product 9",POS 1,Quenkos,C3,Closed
12/05/2025 10:58,1-1101,Sale,249.97,96.53,153.44,0.0,153.44,0.0,153.44,Card,"2 x Product 9, 1 x Product 10, 2 x Product 5, 1 x Product 4",POS 1,Quenkos,C1,Closed
12/05/2025 11:08,1-1102,Sale,186.26,8.76,177.5,0.0,177.5,0.0,177.5,Card,"1 x Product 7, 1 x Product 2, 1 x Product 8, 2 x Product 5",POS 1,Quenkos,C1,Closed
12/05/2025 10:49,1-1103,Sale,434.68,11.65,423.03,0.0,423.03,0.0,423.03,Cash,"2 x Product 2, 1 x Product 3, 1 x Product 7",POS 1,Quenkos,C2,Closed
12/05/2025 11:18,1-1104,Sale,481.36,18.93,462.43,0.0,462.43,0.0,462.43,Cash,"1 x Product 3, 2 x Product 5, 1 x Product 7",POS 1,Quenkos,C2,Closed
13/05/2025 15:55,1-1105,Sale,153.36,2.6,150.76,0.0,150.76,0.0,150.76,Card,"2 x Product 10, 1 x Product 3, 1 x Product 1, 2 x Product 8",POS 1,Quenkos,C2,Closed
13/05/2025 16:40,1-1106,Sale,217.38,52.15,165.23,0.0,165.23,0.0,165.23,Card,"2 x Product 1, 1 x Product 8",POS 1,Quenkos,C1,Closed
13/05/2025 17:25,1-1107,Sale,419.74,8.4,411.34,0.0,411.34,0.0,411.34,Card,"1 x Product 3, 2 x Product 8, 2 x Product 2, 1 x Product 4",POS 1,Quenkos,Owner,Closed
13/05/2025 14:11,1-1108,Sale,318.19,1.27,316.92,0.0,316.92,0.0,316.92,Card,"2 x Product 4, 1 x Product 8, 2 x Product 3, 1 x Product 1",POS 1,Quenkos,C2,Closed
13/05/2025 16:38,1-1109,Sale,345.94,11.06,334.88,0.0,334.88,0.0,334.88,Cash,"1 x Product 7, 2 x Product 4",POS 1,Quenkos,C4,Closed
13/05/2025 10:42,1-1110,Sale,113.92,40.52,73.4,0.0,73.4,0.0,73.4,Card,"1 x Product 6, 1 x Product 8, 2 x Product 2",POS 1,Quenkos,C3,Closed
13/05/2025 18:02,1-1111,Sale,199.84,7.35,192.49,0.0,192.49,0.0,192.49,Card,"2 x Product 10, 2 x Product 4, 2 x Product 8, 2 x Product 6",POS 1,Quenkos,C3,Closed
13/05/2025 17:07,1-1112,Sale,154.29,36.19,118.1,0.0,118.1,0.0,118.1,Cash,"2 x Product 8, 1 x Product 3, 1 x Product 7",POS 1,Quenkos,C2,Closed
13/05/2025 19:54,1-1113,Sale,417.48,2.53,414.95,0.0,414.95,0.0,414.95,Cash,"2 x Product 8, 1 x Product 6, 1 x Product 3",POS 1,Quenkos,Owner,Closed
13/05/2025 12:50,1-1114,Sale,223.72,8.04,215.68,0.0,215.68,0.0,215.68,Card,"1 x Product 6, 1 x Product 4, 1 x Product 9",POS 1,Quenkos,C2,Closed
13/05/2025 18:04,1-1115,Sale,407.11,10.24,396.87,0.0,396.87,0.0,396.87,Cash,"2 x Product 7, 1 x Product 5, 1 x Product 7",POS 1,Quenkos,C1,Closed
13/05/2025 17:09,1-1116,Sale,438.37,13.92,424.45,0.0,424.45,0.0,424.45,Cash,"2 x Product 4, 2 x Product 8",POS 1,Quenkos,C2,Closed
13/05/2025 19:19,1-1117,Sale,336.72,2.88,333.84,0.0,333.84,0.0,333.84,Card,1 x Product 6,POS 1,Quenkos,C3,Closed
13/05/2025 18:02,1-1118,Sale,360.45,7.51,352.94,0.0,352.94,0.0,352.94,Card,2 x Product 1,POS 1,Quenkos,C4,Closed
13/05/2025 19:34,1-1119,Sale,375.45,7.8,367.65,0.0,367.65,0.0,367.65,Card,"2 x Product 5, 2 x Product 9, 1 x Product 7",POS 1,Quenkos,C2,Closed
13/05/2025 18:09,1-1120,Sale,227.65,3.04,224.61,0.0,224.61,0.0,224.61,Cash,"1 x Product 8, 2 x Product 9, 1 x Product 10",POS 1,Quenkos,C2,Closed
13/05/2025 09:18,1-1121,Sale,498.39,21.91,476.48,0.0,476.48,0.0,476.48,Cash,"2 x Product 3, 1 x Product 9, 1 x Product 2, 2 x Product 4",POS 1,Quenkos,Owner,Closed
13/05/2025 15:32,1-1122,Sale,297.96,9.75,288.21,0.0,288.21,0.0,288.21,Cash,"1 x Product 3, 2 x Product 4",POS 1,Quenkos,C2,Closed
13/05/2025 10:27,1-1123,Sale,245.01,4.73,240.28,0.0,240.28,0.0,240.28,Card,"2 x Product 8, 1 x Product 8, 1 x Product 4",POS 1,Quenkos,C1,Closed
13/05/2025 18:43,1-1124,Sale,401.99,10.23,391.76,0.0,391.76,0.0,391.76,Cash,"2 x Product 10, 2 x Product 4",POS 1,Quenkos,C3,Closed
13/05/2025 09:08,1-1125,Sale,337.49,8.6,328.89,0.0,328.89,0.0,328.89,Card,"2 x Product 6, 1 x Product 2, 2 x Product 9, 2 x Product 2",POS 1,Quenkos,C4,Closed
13/05/2025 16:52,1-1126,Sale,486.83,18.89,467.94,0.0,467.94,0.0,467.94,Cash,"1 x Product 7, 2 x Product 10, 2 x Product 6",POS 1,Quenkos,C1,Closed
13/05/2025 18:30,1-1127,Sale,225.48,7.78,217.7,0.0,217.7,0.0,217.7,Card,"1 x Product 2, 1 x Product 7, 1 x Product 1, 2 x Product 10",POS 1,Quenkos,C1,Closed
13/05/2025 09:45,1-1128,Sale,225.5,10.28,215.22,0.0,215.22,0.0,215.22,Card,"2 x Product 6, 2 x Product 10",POS 1,Quenkos,C1,Closed
13/05/2025 19:49,1-1129,Sale,408.47,14.1,394.37,0.0,394.37,0.0,394.37,Card,"2 x Product 7, 1 x Product 2, 2 x Product 3",POS 1,Quenkos,C4,Closed
13/05/2025 14:35,1-1130,Sale,216.18,7.72,208.46,0.0,208.46,0.0,208.46,Card,"2 x Product 3, 2 x Product 6, 1 x Product 6",POS 1,Quenkos,Owner,Closed
13/05/2025 19:16,1-1131,Sale,143.69,1.72,141.97,0.0,141.97,0.0,141.97,Cash,"2 x Product 3, 1 x Product 6",POS 1,Quenkos,C4,Closed
13/05/2025 19:14,1-1132,Sale,360.22,5.17,355.05,0.0,355.05,0.0,355.05,Cash,"1 x Product 4, 2 x Product 5, 2 x Product 7, 2 x Product 2",POS 1,Quenkos,C1,Closed
13/05/2025 10:41,1-1133,Sale,267.15,12.47,254.68,0.0,254.68,0.0,254.68,Card,1 x Product 10,POS 1,Quenkos,C3,Closed
13/05/2025 16:11,1-1134,Sale,281.74,7.39,274.35,0.0,274.35,0.0,274.35,Cash,"1 x Product 9, 2 x Product 1, 2 x Product 6",POS 1,Quenkos,Owner,Closed
13/05/2025 17:29,1-1135,Sale,359.31,0.25,359.06,0.0,359.06,0.0,359.06,Card,2 x Product 4,POS 1,Quenkos,C2,Closed
13/05/2025 18:43,1-1136,Sale,306.11,102.2,203.91,0.0,203.91,0.0,203.91,Cash,"2 x Product 7, 2 x Product 7",POS 1,Quenkos,C4,Closed
13/05/2025 16:20,1-1137,Sale,278.69,4.59,274.1,0.0,274.1,0.0,274.1,Cash,1 x Product 3,POS 1,Quenkos,Owner,Closed
13/05/2025 13:41,1-1138,Sale,262.17,11.73,250.44,0.0,250.44,0.0,250.44,Card,"2 x Product 1, 1 x Product 2",POS 1,Quenkos,C2,Closed
13/05/2025 10:40,1-1139,Sale,399.09,8.3,390.79,0.0,390.79,0.0,390.79,Card,"2 x Product 4, 1 x Product 3, 2 x Product 10",POS 1,Quenkos,Owner,Closed
14/05/2025 17:51,1-1140,Sale,311.27,14.28,296.99,0.0,296.99,0.0,296.99,Cash,"1 x Product 8, 2 x Product 7",POS 1,Quenkos,C3,Closed
14/05/2025 18:34,1-1141,Sale,423.48,10.87,412.61,0.0,412.61,0.0,412.61,Cash,"2 x Product 9, 1 x Product 5, 2 x Product 7",POS 1,Quenkos,C1,Closed
14/05/2025 17:29,1-1142,Sale,269.48,7.29,262.19,0.0,262.19,0.0,262.19,Cash,"1 x Product 8, 1 x Product 4, 1 x Product 9",POS 1,Quenkos,C3,Closed
14/05/2025 16:02,1-1143,Sale,497.14,21.62,475.52,0.0,475.52,0.0,475.52,Card,"2 x Product 8, 2 x Product 8",POS 1,Quenkos,C2,Closed
14/05/2025 10:43,1-1144,Refund,-311.54,0.0,-311.54,0.0,-311.54,0.0,-311.54,Cash,"1 x Product 7, 2 x Product 4",POS 1,Quenkos,Owner,Closed
14/05/2025 13:29,1-1145,Sale,423.79,16.23,407.56,0.0,407.56,0.0,407.56,Cash,"2 x Product 6, 1 x Product 9, 1 x Product 3, 1 x Product 4",POS 1,Quenkos,C3,Closed
14/05/2025 12:13,1-1146,Sale,197.89,56.95,140.94,0.0,140.94,0.0,140.94,Cash,1 x Product 5,POS 1,Quenkos,C1,Closed
14/05/2025 11:32,1-1147,Sale,194.76,9.6,185.16,0.0,185.16,0.0,185.16,Card,"2 x Product 9, 2 x Product 8",POS 1,Quenkos,Owner,Closed
